Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
DOW,2,0,-51.69,2,15.58,0,-14.49,2,13.43,0,-155.8,2,424.05
DOW,3,0,-3.75,1,18.94,0,-4.25,1,21.14,1,185.21,0,-89.47
FCX,1,4,47.95,0,-61.29,4,26.1,0,-22.69,4,132.36,0,-121.31
FCX,2,2,1764.71,2,8.49,2,9.15,2,13.56,2,136.12,2,79.12
FCX,3,0,-94.38,1,55.8,0,-28.46,1,10.61,0,-79.94,1,176.88
PPG,1,4,26.45,4,2.42,4,22.22,0,-1.48,4,98.08,4,3.17
PPG,2,0,-11.17,0,-2.54,0,-10.72,2,4.24,0,-16.8,0,-6.59
PPG,3,0,-5.86,0,-1.0,0,-8.03,1,3.35,0,-6.23,1,8.21
CTVA,1,0,-76.04,0,-5.94,0,-64.11,0,-3.09,0,-139.85,4,111.12
CTVA,2,2,40.01,2,23.16,2,31.22,2,33.72,2,159.06,0,-187.57
CTVA,3,1,66.21,0,-15.31,1,32.62,0,-23.91,1,1544.5,1,290.87
LYB,1,4,36.66,0,-15.85,4,22.18,0,-10.97,4,49.18,0,-20.27
LYB,2,2,4.15,2,0.78,0,-25.99,2,13.11,0,-38.36,2,18.23
LYB,3,0,-45.94,1,7.23,0,-8.38,1,18.16,0,-31.3,1,11.59
VMC,1,0,-4.04,4,14.07,0,-0.96,4,12.46,0,-3.05,4,14.11
VMC,2,2,96.57,2,10.81,2,26.05,2,12.66,2,247.46,2,77.74
VMC,3,0,-31.17,1,0.47,0,-11.54,1,8.28,0,-51.64,0,-25.08
NUE,1,4,32.87,0,-37.13,4,13.88,0,-9.89,0,-33.39,0,-44.15
NUE,2,0,-39.94,2,67.18,0,-23.06,2,23.77,2,42.97,2,117.14
NUE,3,1,42.89,1,26.83,1,9.6,1,24.95,1,31.56,1,43.08
MLM,1,4,5.89,4,19.6,4,4.3,4,11.1,4,34.98,4,28.23
MLM,2,2,166.09,2,1.57,2,33.5,2,6.9,2,734.73,2,4.6
MLM,3,0,-44.76,1,6.61,0,-13.05,1,4.05,0,-80.0,1,9.29
CE,1,4,35.12,0,-18.56,4,18.27,0,-11.99,4,67.12,0,-6.24
CE,2,0,-30.46,2,30.51,0,-18.29,2,16.53,0,-42.94,2,22.43
CE,3,1,10.13,1,7.54,1,1.96,1,13.94,1,115.17,1,16.5
FMC,1,0,-10.77,4,6.88,0,-6.12,4,7.57,0,-32.81,0,-14.26
FMC,2,0,-6.91,2,100.56,0,-7.58,2,69.3,0,-4.6,2,120.49
FMC,3,1,0.99,1,4.38,1,4.4,0,-0.3,1,259.78,1,97.36
ALB,1,4,8.87,4,2.0,0,-2.25,4,6.35,4,9.1,4,4.06
ALB,2,0,-3.86,2,7.81,2,3.41,2,9.86,0,-12.07,2,14.67
ALB,3,0,-28.53,1,18.03,0,-25.56,1,14.75,0,-10.2,1,34.32
EMN,1,4,36.93,0,-9.88,4,10.29,0,-8.65,4,74.96,0,-11.21
EMN,2,0,-35.7,2,0.16,0,-14.15,2,6.3,0,-55.85,2,12.74
EMN,3,1,16.1,1,5.01,1,1.63,1,6.01,1,62.29,1,1.76
IFF,1,4,8.78,4,24.66,4,5.78,4,29.23,0,-54.06,4,6.3
IFF,2,0,-14.89,2,13.3,0,-11.03,2,17.03,2,71.8,0,-19.52
IFF,3,1,12.63,1,6.75,1,4.95,1,9.06,1,24.28,1,14.91
MOS,1,4,34.09,0,-38.08,4,16.47,0,-7.1,0,-60.99,0,-103.54
MOS,2,2,340.06,2,71.95,2,13.71,2,29.39,2,134.34,2,51.11
MOS,3,0,-21.44,1,4.05,0,-13.4,1,3.44,0,-7.44,1,20.29
CF,1,0,-71.86,4,28.03,0,-29.65,4,3.64,0,-111.83,4,55.47
CF,2,2,63.73,2,111.29,2,24.0,2,7.24,2,211.67,2,413.54
CF,3,0,-10.13,0,-48.52,0,-7.44,1,12.08,0,-6.43,0,-5300.84
