Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
AEIS,1,0,-131.08,2,760.79,0,-132.58,2,715.81,0.0,-114.85,2.0,295.4
AEIS,2,1,68.31,0,-498.84,1,88.76,1,36.41,0.0,-8.3,0.0,-706.31
AEP,1,0,-251.71,2,41.37,0,-168.44,0,-5.36,0.0,-197.99,2.0,2829.41
AEP,2,1,931.25,1,226.55,1,342.31,0,-178.4,1.0,757.2,0.0,-198.08
AESE,1,0,-90.28,0,-92.49,2,217.77,0,-47.64,0.0,-252.48,,
AESE,2,0,-32.87,1,984.49,0,-279.31,1,262.68,0.0,-77.81,,
AEYE,1,0,-87.6,0,-10.86,0,-95.41,0,-15.43,0.0,-58.33,0.0,-19.98
AEYE,2,1,0.64,0,-81.9,1,23.35,0,-39.25,0.0,-40.79,0.0,-24.73
AEZS,1,2,192.31,0,-103.85,2,194.11,0,-103.49,0.0,-81.75,0.0,-302.45
AEZS,2,0,-142.3,1,195687.88,0,-101.57,1,212956.82,0.0,-337.5,1.0,326.84
AFIN,1,0,-27.93,0,-20.98,0,-133.76,0,-37.54,0.0,-78.02,0.0,-1358.31
AFIN,2,1,677.42,0,-31.32,1,848.0,0,-60.88,0.0,-56.67,0.0,-258.13
AFMD,1,2,705.25,0,-101.01,2,705.25,0,-101.01,0.0,-11.12,0.0,-7.62
AFMD,2,0,-242.25,1,1580.79,0,-242.25,1,1580.79,0.0,-16.66,0.0,-89.23
AGEN,1,0,-15.23,0,-298.04,0,-157.55,2,2266.92,0.0,-100.0,0.0,-160.34
AGEN,2,0,-94.77,0,-1600.0,1,239.11,0,-115.8,0.0,-79.67,0.0,-8.38
AGFS,1,2,524.79,0,-750.57,2,515.52,0,-154.22,0.0,-81.57,0.0,-55.34
AGFS,2,0,-7.42,0,-13.0,0,-13.85,1,229.67,0.0,-263.54,0.0,-288.46
AGIO,1,0,-122.71,0,-133.55,2,480.62,2,190.25,0.0,-84.72,0.0,-124.56
AGIO,2,0,-99.78,0,-3327.78,0,-87.62,0,-79.14,0.0,-92.49,0.0,-28.96
AGNC,1,2,174.19,0,-143.73,2,174.19,0,-143.73,0.0,-105.68,2.0,604.27
AGNC,2,0,-116.85,1,424.8,0,-116.85,1,424.8,1.0,133.27,0.0,-742.16
AGYS,1,0,-81.87,0,-34.85,0,-55.86,2,33.52,0.0,-136.21,0.0,-192.12
AGYS,2,1,540.85,1,1383.84,1,161.47,1,4336.0,1.0,540.87,0.0,-87.35
AHPI,1,2,9.59,2,148.24,0,-54.49,2,123.12,2.0,834.99,0.0,-1040.38
AHPI,2,1,374.92,0,-1259.63,1,284.96,0,-1052.7,0.0,-4.76,0.0,-36.92
AIH,1,0,-48.79,2,108.71,0,-17.48,2,54.48,,,,
AIH,2,1,320.65,0,-66.82,1,234.79,0,-52.39,,,,
AIHS,1,0,-463.87,2,623.57,0,-15.92,2,23.64,0.0,-16.65,0.0,-20.37
AIHS,2,0,-155.99,0,-91.44,1,149.37,0,-27.84,0.0,-71.42,0.0,-95.71
AIMC,1,0,-109.28,0,-107.59,0,-61.86,0,-110.51,0.0,-123.05,0.0,-204.97
AIMC,2,1,330.3,1,63.94,1,220.03,1,64.56,0.0,-38.1,1.0,337.67
AINV,1,0,-69.43,2,628.4,0,-69.43,2,628.4,0.0,-100.0,0.0,-1786.7
AINV,2,0,-84.94,0,-77.96,0,-84.94,0,-77.96,1.0,799.4,0.0,-103.8
AIRG,1,0,-127.02,0,-141.52,0,-110.1,0,-61.04,0.0,-326.67,0.0,-458.34
AIRG,2,1,805.38,0,-132.53,1,566.34,0,-135.95,0.0,-87.52,1.0,138.6
AIRT,1,2,399.58,0,-87.63,2,1638.75,0,-8.43,2.0,169.39,2.0,962.24
AIRT,2,0,-47.69,0,-31.04,0,-91.55,0,-65.2,0.0,-1.34,0.0,-128.76
AKAM,1,2,495.12,2,1.7,2,2908.33,2,59.39,0.0,-794.44,0.0,-74.97
AKAM,2,0,-136.61,0,-10.15,0,-106.03,0,-27.15,0.0,-109.98,1.0,77.79
AKBA,1,0,-267.66,2,313.9,0,-83.62,0,-119.34,0.0,-36.21,0.0,-290.34
AKBA,2,0,-103.48,0,-3.21,0,-1879.26,1,318.73,0.0,-61.01,0.0,-90.36
AKTS,1,0,-35.61,0,-290.43,2,43.23,2,23.65,0.0,-83.2,0.0,-51.04
AKTS,2,0,-92.64,1,309.78,1,8787.95,0,-86.89,0.0,-19.24,0.0,-97.58
ALBO,1,2,139.74,0,-43.43,2,139.74,0,-43.43,0.0,-2.88,0.0,-20.09
ALBO,2,0,-51.13,0,-100.0,0,-51.13,0,-100.0,0.0,-10.26,0.0,-6.24
ALCO,1,2,8263.81,0,-125.81,2,323.96,0,-148.26,0.0,-110.83,0.0,-116.89
ALCO,2,0,-1549.0,1,224.03,0,-68.52,1,234.82,1.0,1822.73,0.0,-6.76
ALEC,1,0,-81.26,0,-4.92,0,-120.64,0,-97.56,0.0,-100.0,0.0,-31.31
ALEC,2,0,-80.4,0,-2.18,1,254.6,0,-103.64,0.0,-64.58,0.0,-108.99
ALGM,1,2,168.42,0,-109.99,2,8.08,0,-108.15,,,,
ALGM,2,1,396.1,1,661.28,1,167.12,1,904.95,,,,
ALGN,1,0,-89.64,0,-94.57,0,-87.39,0,-87.9,0.0,-96.89,2.0,2361.61
ALGN,2,1,420.22,0,-30.98,1,400.64,0,-33.1,1.0,526.89,0.0,-83.21
ALGT,1,2,701.73,0,-453.86,0,-55.28,0,-544.0,0.0,-97.6,0.0,-524.55
ALGT,2,0,-49.65,1,1180.11,1,175.24,1,0.68,0.0,-61.99,1.0,342.6
ALIM,1,0,-72.22,0,-161.2,0,-57.01,0,-136.74,0.0,-32.03,0.0,-190.9
ALIM,2,1,186.63,0,-60.7,1,178.41,0,-47.04,0.0,-62.5,1.0,467.39
ALJJ,1,0,-206.99,2,137.2,0,-6.86,2,340.5,0.0,-277.78,0.0,-150.66
ALJJ,2,0,-26.06,0,-246.82,1,1890.0,0,-130.35,1.0,256.38,0.0,-19.7
ALNY,1,2,47.13,0,-32.02,2,42.26,0,-35.73,0.0,-90.76,0.0,-12.34
ALNY,2,1,1060.89,1,989.83,1,366.96,1,1258.54,0.0,-974.05,0.0,-82.03
ALPN,1,0,-51.18,0,-90.51,2,582.0,2,347.7,0.0,-38.48,0.0,-88.83
ALPN,2,0,-201.57,0,-99.04,0,-257.73,0,-43.44,0.0,-1126.72,0.0,-165.12
ALRM,1,2,62.68,2,40.72,0,-65.19,2,18.23,0.0,-153.07,0.0,-69.74
ALRM,2,1,485.82,0,-31.46,1,279.2,0,-19.08,1.0,22.42,1.0,640.23
ALRS,1,0,-123.44,2,215.99,0,-123.44,2,215.99,0.0,-55.16,,
ALRS,2,0,-38.84,1,520.0,0,-38.84,1,520.0,1.0,654.25,,
ALT,1,0,-10.14,0,-223.54,0,-106.93,2,193.71,0.0,-61.03,0.0,-78.35
ALT,2,0,-97.16,0,-543.0,1,555.75,0,-1056.99,0.0,-83.73,0.0,-2.52
ALTA,1,0,-124.19,2,50.34,0,-124.19,2,50.34,2.0,358.97,0.0,-90.95
ALTA,2,1,523.35,0,-87.72,1,523.35,0,-87.72,0.0,-46.49,1.0,680.08
ALTM,1,0,-147.14,0,-86.25,0,-149.49,0,-87.93,2.0,60.81,2.0,100.52
ALTM,2,1,233.59,0,-85.01,1,217.78,0,-81.09,1.0,642.12,0.0,-20937.18
ALTR,1,2,462.13,0,-58.28,2,216.48,0,-84.79,2.0,974.74,0.0,-82.1
ALTR,2,1,122.13,0,-30.84,1,132.0,0,-16.55,0.0,-94.8,0.0,-237.5
ALXN,1,0,-102.7,0,-9.7,0,-98.0,2,3.84,0.0,-104.46,0.0,-102.52
ALXN,2,1,542.23,1,40.16,1,99900.0,1,27.36,1.0,152.5,1.0,3696.18
ALYA,1,2,210.5,0,-6.34,2,198.8,2,5.33,0.0,-14.28,0.0,-21.5
ALYA,2,0,-212.6,1,9.89,0,-1.48,0,-16.04,0.0,-80.77,0.0,-89.85
AMAL,1,0,-129.67,0,-74.05,0,-129.67,0,-74.05,2.0,112.1,,
AMAL,2,1,3068.49,0,-70.02,1,3068.49,0,-70.02,1.0,152.85,,
AMAT,1,2,33.62,2,238.27,2,51.57,2,241.51,0.0,-102.3,2.0,1196.45
AMAT,2,0,-33.0,0,-209.93,0,-39.75,0,-191.94,1.0,220.22,0.0,-62.11
AMBA,1,0,-30.13,2,154.96,0,-9.56,0,-697.62,0.0,-214.19,0.0,-83.22
AMBA,2,1,472.89,0,-85.12,1,243.91,1,101.83,0.0,-75.9,0.0,-300.07
AMCX,1,2,364.35,0,-502.65,2,1509.17,0,-370.03,0.0,-78.49,0.0,-155.93
AMCX,2,0,-50.52,0,-72.64,1,110.01,0,-49.92,1.0,512.54,0.0,-318.97
AMD,1,0,-60.11,2,199.83,0,-64.83,2,1040.51,2.0,145.89,2.0,9486.72
AMD,2,1,1127.52,0,-53.43,1,450.55,0,-83.02,1.0,2146.92,0.0,-100.54
AMED,1,0,-131.37,0,-35.08,0,-89.98,0,-66.36,0.0,-134.4,2.0,435.5
AMED,2,1,346.72,1,99.02,1,1001.48,1,76.12,1.0,1192.8,0.0,-97.31
AMEH,1,2,156.28,0,-145.39,2,22525.0,0,-82.94,2.0,88.15,2.0,150.87
AMEH,2,1,276.33,1,47.52,1,100.52,1,178.52,1.0,261.62,0.0,-142.26
AMGN,1,2,18.03,2,141.72,0,-6.0,2,645.06,0.0,-256.74,0.0,-315.05
AMGN,2,1,101.99,0,-170.72,1,379.45,0,-141.22,1.0,2016.92,0.0,-99.44
AMKR,1,0,-38.8,2,550.12,0,-91.84,2,502.95,0.0,-39.48,2.0,3280.21
AMKR,2,1,1301.1,0,-29.52,1,777.27,0,-335.0,1.0,665.16,0.0,-89.08
AMNB,1,0,-43.09,0,-100.37,0,-43.09,0,-100.37,2.0,191.27,0.0,-149.94
AMNB,2,1,212.74,1,425.15,1,212.74,1,425.15,0.0,-244.94,1.0,785.47
AMOT,1,2,212.59,2,11.5,2,248.95,0,-16.26,2.0,240.01,0.0,-93.84
AMOT,2,0,-194.95,1,467.76,0,-222.09,1,833.73,0.0,-271.39,1.0,833.85
AMRB,1,2,59.89,0,-16.0,2,59.89,0,-16.0,0.0,-100.0,0.0,-79.92
AMRB,2,1,98.52,1,41.57,1,98.52,1,41.57,1.0,725.0,1.0,241.0
AMRK,1,0,-266.16,2,1183.02,0,-254.7,2,138.17,0.0,-370.27,2.0,684.01
AMRK,2,1,17.25,1,241.63,0,-62.8,0,-520.86,0.0,-58.66,1.0,211.2
AMRN,1,0,-53.75,0,-51.02,0,-56.1,0,-50.98,2.0,166.67,0.0,-65.18
AMRN,2,1,239.58,1,221.92,1,223.33,1,229.41,0.0,-357.14,0.0,-46.52
AMSC,1,0,-207.23,0,-153.29,2,2746.67,0,-15.76,0.0,-1217.6,0.0,-203.02
AMSC,2,0,-90.48,1,408.99,0,-102.66,1,145.24,0.0,-89.75,1.0,1482.19
AMSF,1,2,615.92,0,-122.02,2,192.38,0,-327.18,2.0,953.72,0.0,-123.42
AMSF,2,0,-104.34,1,382.7,0,-153.86,0,-386.76,0.0,-101.99,0.0,-46.17
AMSWA,1,0,-25.74,2,218.93,0,-132.13,2,275.21,0.0,-133.34,0.0,-89.89
AMSWA,2,1,138.55,0,-169.98,1,132.4,0,-158.77,1.0,350.0,0.0,-144.96
AMTB,1,0,-84.7,0,-3929.47,0,-84.7,0,-3929.47,2.0,119.7,2.0,60.32
AMTB,2,1,367.12,1,120.74,1,367.12,1,120.74,0.0,-650.0,0.0,-91.71
AMTX,1,0,-102.82,2,124.32,0,-168.29,2,24.88,0.0,-688.54,0.0,-12.54
AMTX,2,1,3214.25,1,184.84,1,187.21,1,191.0,1.0,254.75,0.0,-93.02
AMWD,1,0,-235.79,0,-115.42,0,-124.73,0,-99.05,0.0,-165.34,0.0,-130.19
AMWD,2,1,65.38,1,95.94,1,757.89,1,47.94,1.0,34.96,1.0,314.17
AMZN,1,2,140.96,2,44.84,2,276.26,2,83.96,0.0,-28.41,2.0,473.96
AMZN,2,0,-52.56,0,-46.2,0,-54.43,0,-33.88,0.0,-80.96,0.0,-93.74
ANAT,1,0,-105.58,2,522.16,0,-103.66,2,1001.61,0.0,-366.87,2.0,528.77
ANAT,2,1,334.83,0,-217.04,1,429.23,0,-143.74,1.0,1410.55,0.0,-139.17
ANDE,1,2,850.12,0,-130.51,2,1799.41,0,-99.72,2.0,1746.33,0.0,-6.66
ANDE,2,0,-106.1,1,1456.36,0,-15.0,1,1067.68,0.0,-157.37,0.0,-2234.46
ANGI,1,0,-519.21,0,-93.76,0,-298.23,0,-37.59,0.0,-500.0,0.0,-114.31
ANGI,2,0,-69.87,0,-64.53,0,-56.67,0,-68.14,0.0,-125.0,0.0,-132.82
ANGO,1,0,-32.92,0,-143.48,0,-82.13,0,-169.68,0.0,-100.0,0.0,-234.81
ANGO,2,1,173.43,1,739.39,1,224.13,1,213.95,0.0,-96.34,1.0,27.27
ANIK,1,2,133.14,2,213.95,2,124.83,2,223.81,0.0,-92.91,2.0,222.63
ANIK,2,0,-421.57,0,-262.01,0,-170.57,0,-171.37,0.0,-588.06,0.0,-2040.32
ANIP,1,2,2715.71,0,-81.46,2,454.96,0,-82.34,2.0,239.29,0.0,-103.98
ANIP,2,0,-90.41,1,164.11,0,-169.5,0,-62.68,0.0,-45.44,1.0,1321.19
ANSS,1,2,1524.2,0,-48.45,2,1542.47,0,-36.5,2.0,945.33,0.0,-170.32
ANSS,2,0,-118.14,0,-4.83,0,-118.34,0,-5.14,0.0,-119.76,0.0,-88.11
ANY,1,2,558.37,2,122.36,0,-99.07,0,-34.91,0.0,-26.08,0.0,-44.02
ANY,2,0,-157.25,0,-45.75,0,-21.95,0,-66.08,0.0,-46.43,0.0,-26.29
AOSL,1,0,-68.83,0,-455.84,0,-79.85,0,-55.52,0.0,-99.17,0.0,-408.96
AOSL,2,1,62.92,0,-85.94,1,63.71,0,-30.09,1.0,3948.15,0.0,-4902.23
APA,1,0,-100.62,0,-133.2,0,-98.66,0,-94.09,0.0,-2.0,0.0,-99.58
APA,2,1,260.22,0,-161.24,1,207.53,0,-152.23,0.0,-7.26,0.0,-8862.21
APDN,1,2,1896.86,0,-208.71,2,1622.43,0,-268.58,0.0,-560.43,0.0,-69.0
APDN,2,0,-64.25,1,285.94,0,-24.44,1,313.22,0.0,-52.93,0.0,-103.88
APEI,1,0,-149.13,0,-1425.81,0,-136.25,0,-638.46,0.0,-133.1,0.0,-408.26
APEI,2,1,307.38,0,-95.22,1,3046.87,0,-88.29,1.0,426.22,1.0,244.41
APEN,1,0,-98.44,0,-40.97,0,-99.79,0,-2.58,0.0,-71.29,0.0,-51.02
APEN,2,1,429.66,0,-37.61,1,368.8,0,-210.24,0.0,-63.31,0.0,-201.54
APHA,1,0,-182.53,2,81.4,2,321.66,0,-76.26,0.0,-3110.77,,
APHA,2,1,387.87,0,-38.07,0,-185.32,1,572.55,0.0,-93.77,,
APOG,1,0,-132.78,2,129.55,0,-117.6,0,-118.72,0.0,-78.01,2.0,203.4
APOG,2,1,842.98,0,-184.31,1,173.81,0,-69.62,1.0,773.76,0.0,-479.07
APPF,1,0,-300.93,0,-26.88,0,-469.6,0,-39.15,0.0,-23.15,0.0,-17.86
APPF,2,0,-118.45,1,2.69,0,-68.19,1,7.83,1.0,1700.0,0.0,-52.83
APTX,1,0,-17.34,0,-93.68,0,-18.58,0,-236.01,0.0,-46.04,0.0,-38.42
APTX,2,0,-301.22,0,-45.1,0,-268.23,1,165.86,0.0,-20.62,0.0,-39.94
APYX,1,2,521.19,2,37.38,2,540.98,2,12.51,0.0,-83.93,0.0,-111.19
APYX,2,0,-41.41,1,54.42,0,-65.74,1,288.09,0.0,-122.22,1.0,8925.73
AQST,1,0,-127.78,0,-2098.56,0,-142.02,0,-2954.55,0.0,-600.03,,
AQST,2,1,643.42,0,-104.21,1,415.94,0,-97.36,0.0,-1214.57,,
ARCC,1,2,4285.96,0,-107.77,2,4285.96,0,-107.77,0.0,-127.25,0.0,-418.9
ARCC,2,1,111.07,0,-6.36,1,111.07,0,-6.36,0.0,-58.84,0.0,-126.61
ARCE,1,0,-962.22,0,-15.91,0,-9.01,0,-9.91,0.0,-286.67,,
ARCE,2,0,-223.85,1,6.86,0,-281.35,1,4.6,1.0,266.67,,
ARCT,1,0,-74.91,0,-70.82,0,-965.96,0,-269.28,0.0,-275.6,0.0,-98.81
ARCT,2,0,-2502.4,0,-1532.96,1,103.84,1,50.8,0.0,-11.51,0.0,-89.17
ARKO,1,0,-116.61,0,-84.04,2,246.47,0,-101.26,,,,
ARKO,2,1,725.95,1,53.28,0,-18.16,1,21.91,,,,
ARKR,1,0,-109.74,0,-1171.13,0,-103.34,0,-2425.0,0.0,-137.04,0.0,-558.22
ARKR,2,1,396.93,1,212.9,1,356.83,0,-62.72,0.0,-39.29,0.0,-381.56
ARLP,1,0,-95.67,0,-785.83,0,-92.25,0,-1475.61,0.0,-78.74,0.0,-1206.48
ARLP,2,1,358.17,0,-228.11,1,244.49,0,-117.83,1.0,332.1,1.0,662.62
AROW,1,2,17.3,2,85.68,2,17.3,2,85.68,2.0,51.11,0.0,-87.04
AROW,2,1,119.09,0,-50.46,1,119.09,0,-50.46,1.0,177.09,1.0,136.05
ARTNA,1,0,-40.39,2,200.21,2,47.53,2,278.38,0.0,-10.21,2.0,95.98
ARTNA,2,1,821.81,0,-659.3,1,276.47,0,-155.78,0.0,-69.71,0.0,-71.93
ARTW,1,0,-2090.17,0,-428.08,0,-182.04,0,-113.1,0.0,-100.0,0.0,-23.3
ARTW,2,0,-490.0,1,184.84,1,124.07,1,436.06,0.0,-44.45,0.0,-44.97
ARVN,1,0,-320.11,0,-124.63,0,-320.11,0,-124.63,0.0,-34.04,0.0,-33.24
ARVN,2,1,508.25,1,124.75,1,508.25,1,124.75,0.0,-365.8,0.0,-47.76
ARWR,1,2,348.34,0,-105.06,2,348.34,0,-105.06,0.0,-78.33,0.0,-207.56
ARWR,2,0,-541.1,1,2045.82,0,-541.1,1,2045.82,0.0,-669.23,1.0,638.25
ASMB,1,0,-765.43,0,-244.57,0,-701.65,2,4951.72,0.0,-653.96,0.0,-711.03
ASMB,2,0,-128.28,0,-69.46,0,-101.4,0,-87.79,0.0,-217.9,0.0,-89.98
ASML,1,2,1.04,2,477.11,0,-60.65,2,128.25,0.0,-48.24,2.0,1105.94
ASML,2,0,-61.92,0,-80.16,0,-47.59,0,-63.82,0.0,-44.94,0.0,-113.76
ASND,1,2,359.42,0,-95.54,2,359.42,0,-95.54,0.0,-49.78,0.0,-299.7
ASND,2,0,-215.2,1,985.85,0,-215.2,1,985.85,0.0,-130.69,0.0,-77.78
ASPS,1,2,152.44,0,-158.47,0,-68.03,0,-104.8,0.0,-68.89,0.0,-5706.11
ASPS,2,0,-124.8,0,-48.6,0,-57.09,0,-100.0,0.0,-108.16,0.0,-109.88
ASRT,1,2,783.28,0,-67.72,2,4830.77,0,-68.36,0.0,-53.67,0.0,-573.14
ASRT,2,0,-86.41,0,-39.74,0,-97.79,0,-98.54,0.0,-231.9,1.0,1187.59
ASTC,1,0,-507.35,2,120.81,0,-51.2,2,496.29,0.0,-687.0,0.0,-72.9
ASTC,2,0,-89.39,0,-72.68,0,-137.53,1,149.5,0.0,-69.78,0.0,-258.82
ASTE,1,2,171.95,0,-99.62,2,125.2,0,-7200.0,2.0,1133.57,0.0,-20.38
ASTE,2,0,-20.86,1,272.84,0,-56.81,0,-84.68,0.0,-50.92,1.0,152.34
ASYS,1,2,408.63,0,-176.99,2,2139.36,0,-53.36,2.0,111.54,0.0,-2.7
ASYS,2,0,-250.77,0,-151.66,0,-117.74,0,-173.43,0.0,-1114.57,0.0,-318.01
ATAX,1,2,217.68,0,-14.3,2,173.64,0,-7.17,0.0,-33.33,0.0,-177.77
